Row,Energy,Momentum,Angle_Theta,Angle_Phi,Detector_Response,Time_Measurement,Particle_Type
Energy,5.10042454306517,4.29045534183502,0.678343463073333,-0.0440511644024203,-0.0297312611075729,2.44491258364337,-0.10755892633634
Momentum,4.29045534183502,4.12402041039319,0.328027121926834,-0.353132520866347,-0.00422630764090675,2.26179764093283,-0.175193992716946
Angle_Theta,0.678343463073333,0.328027121926834,0.735168720273112,-0.0897450768606175,-0.0176473333613195,-0.0290522443556656,-0.0241094485017827
Angle_Phi,-0.0440511644024203,-0.353132520866347,-0.0897450768606175,2.82820773017055,-0.0320545199792366,-0.00536316102765761,-0.0557105677905412
Detector_Response,-0.0297312611075729,-0.00422630764090675,-0.0176473333613195,-0.0320545199792366,0.031034573468416,-0.138433589323561,-0.00341690450411409
Time_Measurement,2.44491258364337,2.26179764093283,-0.0290522443556656,-0.00536316102765761,-0.138433589323561,8.27553210350224,0.353992105404537
Particle_Type,-0.10755892633634,-0.175193992716946,-0.0241094485017827,-0.0557105677905412,-0.00341690450411409,0.353992105404537,0.654022988505747
